教材或支线,最新可核定状态,尚余或状态,下一断点,说明
Griffiths 第二版,321/342,21,11.1,Chapter 11 的 11.1–11.20 与 12.1
周世勋第二版 + 学习指导,26/54,28,4.1,第4–7章
顾樵《量子力学 I–II》,未建立完整逐题正式账,待冻结,卷I第1章首个习题组,第1–17章正式习题
曾谨言《量子力学导论》第二版,0正式题,待冻结,第1章首个章末题,全书章末习题
关洪《量子力学的基本概念》,题源待锁定,待冻结,分类建账,讨论题、证明题、计算题
关洪《量子力学基础》,尚未连续闭合,待冻结,第1章首题,12章全部习题
陈鄂生《量子力学基础教程》,4/150,146,第2章第1题,第2–10章及未完成题
曾谨言第三版 + 孙婷雅《习题剖析》,Ch1 1.1–1.7闭合；Ch2 2.1–2.4重写,待冻结,2.5,第三版其余正式题
井孝功教材 + 习题解答,11章题源已配对，0正式题,待冻结,第1章首个正式题,11章全部正式题
曾谨言《量子力学》卷I第四版,0正式题,待冻结,第1章首题,全部正式习题，四版独立题号
钱伯初《量子力学》+答案,已处理9题位,待冻结,2-9,其余全书习题
苏汝铿第二版,8/181,173,2.1,第2章起连续推进
汪德新答案,缺完整教材映射,不可给严格分母,答案索引,不由答案反猜题面
Sakurai–Napolitano 第三版,241/242,1,SK-6.13,完整题面与原 Mathematica notebook SOURCE_LOCKED
Mizera,17/17,0,—,已清零
David Tong,112/112,0,—,已清零
Nielsen–Chuang,592/592,0,—,已清零
Preskill,123个跨年份唯一题位,滚动,题源去重与页级认证,唯一题位持续审计
Steven H. Simon,141个数学题位已有解,认证未闭合,OUP页级认证,canonical映射尚未完全闭合
