教材或支线,最新可核定状态,尚余或状态,下一断点,说明
Griffiths 第二版,342/342,0,—,已清零
周世勋第二版 + 学习指导,54/54,0,—,本轮全书清零；指导书扩展练习不混入54道正式题
顾樵《量子力学 I–II》,卷I第1章13/13且第2章15/15；累计28个显式计算题位,全书总分母继续逐页冻结,卷I第3章原PDF物理页114后的首个显式例题,卷I第3–8章与卷II第9–17章未闭合
曾谨言《量子力学导论》第二版,尚未形成连续正式题累计,待冻结,第1章首个章末题,全书章末习题
关洪《量子力学的基本概念》,9个核心概念主问题,未设连续正式题分母,三类任务账,继续讨论题、证明题、计算题分类推进
关洪《量子力学基础》,51/184,133,5.1,第1–4章清零
陈鄂生《量子力学基础教程》,66/150,84,第6章第1题,第1–5章闭合
曾谨言第三版 + 孙婷雅《习题剖析》,第1–4章共51道正式题清零,后续待做,5.1,每题1道本质变式+1道同类巩固
井孝功教材 + 习题解答,65/137,72,8.1,第1–7章清零
曾谨言《量子力学》卷I第四版,尚未形成独立连续累计,待冻结,第1章首题,全部正式习题；四版独立题号
钱伯初《量子力学》+答案,v004完成61个可靠正式题位,全书分母尚未冻结,6-10,教材题面为主；旧答案只作第二意见
苏汝铿第二版,41/181,140,3.1,第1–2章清零
汪德新答案支线,第1章31/31且第2章48/48；累计79个答案题位,第3–13章未完成,3.1.1,保留题源映射边界；不由答案反猜缺失题面
Sakurai–Napolitano 第三版,241/242,1,SK-6.13,完整题面与原 Mathematica notebook SOURCE_LOCKED
Mizera,17/17,0,—,已清零
David Tong,112/112,0,—,已清零
Nielsen–Chuang,592/592,0,—,已清零
Preskill,123个跨年份唯一canonical题位,无已知明确编号未解official problem,题源与勘误审计,继续source discovery和正确性认证
Steven H. Simon,141个数学题位已有解；49个final-certified,OUP认证未闭合,OUP页级认证,继续final-ID和canonical映射
