source_id,book,topic,problem,pdf_question_page,pdf_answer_pages,status,dedup_status,notes,training_variants
J17-01,江四喜《物理竞赛专题精编》,17 平衡稳定性的分析,1,32,249,COMPLETE-REFINED,provisionally_unique,任意位置随遇平衡；截线为右半椭圆并核对法线共点,2+1
J17-02,江四喜《物理竞赛专题精编》,17 平衡稳定性的分析,2,32-33,249-250,COMPLETE,provisionally_unique,立方体在半圆柱顶部；小角重心展开得r>a/2,2+1
J17-03,江四喜《物理竞赛专题精编》,17 平衡稳定性的分析,3,32-33,250,COMPLETE,provisionally_unique,双球冠浮体插杆；组合质心与下球面曲率中心比较,2+1
J17-04,江四喜《物理竞赛专题精编》,17 平衡稳定性的分析,4,33,250-251,COMPLETE,provisionally_unique,椭圆焦点轻绳两环；总势能恒定为随遇平衡,2+1
J17-05,江四喜《物理竞赛专题精编》,17 平衡稳定性的分析,5,33,251-252,COMPLETE,provisionally_unique,鸡蛋两端曲率与球碗相对曲率；给出碗半径区间,2+1
J17-06,江四喜《物理竞赛专题精编》,17 平衡稳定性的分析,6,33,252-253,COMPLETE,provisionally_unique,旋转圆环定长杆；有效势能与角速度分岔,2+1
J17-07,江四喜《物理竞赛专题精编》,17 平衡稳定性的分析,7,33,253,COMPLETE-REFINED,provisionally_unique,倒置U形水银管；两根20与30厘米并判稳定性,2+1
J17-08,江四喜《物理竞赛专题精编》,17 平衡稳定性的分析,8,33-34,253-254,COMPLETE,provisionally_unique,刚杆连接航天器；径向重力梯度稳定与小振动频率,2+1
J18-01,江四喜《物理竞赛专题精编》,18 桁架的平衡,1,34,254,COMPLETE,provisionally_unique,六薄片压力倍增链；P=mg/42,2+1
J18-02,江四喜《物理竞赛专题精编》,18 桁架的平衡,2,34,254-255,COMPLETE-REFINED,provisionally_unique,交叉杆不连接；求全部九根杆拉压内力,2+1
J18-03,江四喜《物理竞赛专题精编》,18 桁架的平衡,3,34,255-256,COMPLETE,provisionally_unique,屋架结点法；杆3-4受拉P,2+1
J18-04,江四喜《物理竞赛专题精编》,18 桁架的平衡,4,34-35,256-257,COMPLETE,provisionally_unique,n层三角板支架；四个铰反力分量,2+1
J18-05,江四喜《物理竞赛专题精编》,18 桁架的平衡,5,35,257,COMPLETE,provisionally_unique,长桁架截面法；杆8负240杆9负30杆10正255千牛,2+1
J19-01,江四喜《物理竞赛专题精编》,19 空间力系下杆的平衡,1,35,257-258,COMPLETE,provisionally_unique,墙地空间杆；最大二面角与墙面法向力,2+1
J19-02,江四喜《物理竞赛专题精编》,19 空间力系下杆的平衡,2,35-36,258-259,COMPLETE-CORRECTED,provisionally_unique,球面支承杆；修正交圆半径根式的余弦定理组合,2+1
J19-03,江四喜《物理竞赛专题精编》,19 空间力系下杆的平衡,3,35-36,259-260,COMPLETE,provisionally_unique,杆靠矮墙；最小倾角分支与墙面支持力,2+1
J19-04,江四喜《物理竞赛专题精编》,19 空间力系下杆的平衡,4,36,260-261,COMPLETE,provisionally_unique,圆筒内杆沿边缘移动；最小摩擦半角公式,2+1
J19-05,江四喜《物理竞赛专题精编》,19 空间力系下杆的平衡,5,36,262-263,COMPLETE,provisionally_unique,竖直圆环与铰杆；空间摩擦分量得11/sqrt39,2+1
J19-06,江四喜《物理竞赛专题精编》,19 空间力系下杆的平衡,6,36,263,COMPLETE-REDERIVED,provisionally_unique,两杆点接触；用公法线与向量投影重建mu(x,y),2+1
J20-01,江四喜《物理竞赛专题精编》,20 斜面上物体的平衡,1,37,263-264,COMPLETE,provisionally_unique,慢收绳半圆轨迹；动摩擦系数tan alpha,2+1
J20-02,江四喜《物理竞赛专题精编》,20 斜面上物体的平衡,2,37,264,COMPLETE,provisionally_unique,方板绕两边依次转动；板内重力矢量合成,2+1
J20-03,江四喜《物理竞赛专题精编》,20 斜面上物体的平衡,3,37,264-266,COMPLETE,provisionally_unique,两木块斜绳平衡；最大偏角两分支连续,2+1
J20-04,江四喜《物理竞赛专题精编》,20 斜面上物体的平衡,4,37,266-267,COMPLETE,provisionally_unique,正六棱柱铅笔；滑动与翻滚双重条件,2+1
J20-05,江四喜《物理竞赛专题精编》,20 斜面上物体的平衡,5,37,267-268,COMPLETE-REFINED,provisionally_unique,弹性绳质点可静止区域；分开松弛区与拉紧区,2+1
